estación;localidad
Bolivia;ENGATIVÁ
Carvajal - Sevillana;KENNEDY
Ciudad Bolívar;CIUDAD BOLÍVAR
Colina;SUBA
Fontibon;FONTIBÓN
Guaymaral;SUBA
Jazmín;PUENTE ARANDA
Kennedy;KENNEDY
Las Ferias;ENGATIVÁ
MinAmbiente;SANTA FE
Móvil 7ma;CHAPINERO
Móvil Fontibón;FONTIBÓN
Puente Aranda;PUENTE ARANDA
San Cristobal;SAN CRISTÓBAL
Suba;SUBA
Tunal;TUNJUELITO
Usaquen;USAQUÉN
Usme;USME
CDAR;BARRIOS UNIDOS
