Longitud,Latitud,Fecha_Acc,AA_Acc,Hora_Acc,Localidad,Gravedad_Indicador_Tradicional,Con_Embriaguez
-74.11234764044,4.59449228854,2024-01-14,2024,4,ANTONIO NARIÑO,Con Heridos,NO
-74.18753800576,4.61607585307,2024-01-14,2024,4,BOSA,Con Heridos,NO
-74.05538020317,4.67755586054,2024-01-14,2024,10,CHAPINERO,Con Heridos,NO
-74.11119846842,4.74684840397,2024-01-13,2024,10,SUBA,Con Heridos,NO
-74.1915676725,4.62598794923,2024-01-14,2024,13,BOSA,Solo Daños,NO
-74.0445279855,4.73376723609,2024-01-14,2024,22,USAQUÉN,Con Heridos,NO
-74.14389015281,4.55234117525,2024-01-13,2024,12,CIUDAD BOLÍVAR,Con Heridos,NO
-74.1993048567,4.63561091285,2024-01-01,2024,19,BOSA,Con Heridos,NO
-74.16897516928,4.61868468613,2024-01-01,2024,20,KENNEDY,Con Muertos,NO
-74.203735866,4.63084148857,2024-01-05,2024,12,BOSA,Con Heridos,NO
-74.16183037345,4.60303569404,2024-01-07,2024,14,BOSA,Solo Daños,SI
-74.12240860645,4.62905294618,2024-01-03,2024,7,KENNEDY,Con Heridos,NO
-74.14221940224,4.66810576733,2024-01-08,2024,7,FONTIBÓN,Con Heridos,NO
-74.19258458202,4.60271754058,2024-01-08,2024,12,BOSA,Con Heridos,NO
-74.04193428938,4.77659367068,2024-01-08,2024,18,USAQUÉN,Con Heridos,NO
-74.07896486704,4.64657725838,2024-01-12,2024,5,TEUSAQUILLO,Con Heridos,NO
-74.09575013106,4.6866449388,2024-01-12,2024,8,ENGATIVÁ,Con Heridos,NO
-74.16863647883,4.61079832702,2024-01-12,2024,4,KENNEDY,Con Muertos,NO
-74.1196539778,4.67901546754,2024-01-11,2024,15,FONTIBÓN,Con Heridos,NO
-74.12722317164,4.53322435399,2024-01-12,2024,8,CIUDAD BOLÍVAR,Con Heridos,NO
-74.12683886181,4.60721967853,2024-01-13,2024,5,PUENTE ARANDA,Solo Daños,NO
-74.08193627418,4.70609652065,2024-01-14,2024,8,SUBA,Con Heridos,NO
-74.10378334706,4.69949508975,2024-01-12,2024,6,ENGATIVÁ,Con Heridos,NO
-74.19499186461,4.61324994861,2024-01-14,2024,14,BOSA,Con Heridos,NO
-74.14263782684,4.65338635883,2024-01-13,2024,23,KENNEDY,Con Heridos,NO
-74.08869726245,4.50826516797,2024-01-14,2024,8,USME,Con Heridos,NO
-74.07832113688,4.61835635244,2024-01-13,2024,22,LOS MÁRTIRES,Con Muertos,NO
-74.12906316702,4.60934659944,2024-01-13,2024,15,PUENTE ARANDA,Con Heridos,NO
-74.13868693297,4.59062626698,2024-01-06,2024,8,TUNJUELITO,Con Heridos,NO
-74.07015112822,4.60443797377,2024-01-10,2024,7,SANTA FE,Con Heridos,NO
-74.09438756888,4.67980675504,2024-01-09,2024,15,ENGATIVÁ,Con Heridos,NO
-74.14142278616,4.60977169125,2024-01-09,2024,13,KENNEDY,Con Heridos,NO
-74.14000273217,4.69474402456,2024-01-09,2024,6,FONTIBÓN,Con Heridos,NO
-74.11910924741,4.60130845393,2024-01-10,2024,17,PUENTE ARANDA,Con Heridos,NO
-74.18264833872,4.63364593533,2024-01-11,2024,19,BOSA,Con Heridos,NO
-74.08149955456,4.75220041057,2024-01-13,2024,3,SUBA,Solo Daños,SI
-74.08149419014,4.58967178955,2024-01-12,2024,19,SANTA FE,Con Heridos,NO
-74.09312693064,4.66579869553,2024-01-12,2024,6,TEUSAQUILLO,Con Heridos,NO
-74.09983245318,4.64869458289,2024-01-12,2024,0,TEUSAQUILLO,Con Heridos,NO
-74.110609569,4.53513345765,2024-01-10,2024,17,USME,Con Heridos,NO
-74.0708297271,4.63615094653,2024-01-12,2024,9,TEUSAQUILLO,Con Heridos,NO
-74.06218362634,4.67714417597,2024-01-12,2024,20,BARRIOS UNIDOS,Con Heridos,NO
-74.07398132269,4.6417437463,2024-01-11,2024,17,TEUSAQUILLO,Con Heridos,NO
-74.09985793416,4.55007723322,2024-01-01,2024,18,SAN CRISTÓBAL,Con Heridos,SI
-74.13187143986,4.62959031141,2024-01-01,2024,11,KENNEDY,Con Heridos,NO
-74.08708838205,4.54841911052,2024-01-01,2024,7,SAN CRISTÓBAL,Con Heridos,NO
-74.12685302679,4.69730574229,2024-01-04,2024,0,ENGATIVÁ,Con Heridos,NO
-74.18688488786,4.62697432807,2024-01-02,2024,21,BOSA,Con Heridos,NO
-74.13881031458,4.55217211777,2024-01-11,2024,8,CIUDAD BOLÍVAR,Solo Daños,NO
-74.09123731439,4.68183576181,2024-01-07,2024,20,ENGATIVÁ,Con Heridos,NO
-74.11158052866,4.66672366381,2024-01-10,2024,14,ENGATIVÁ,Solo Daños,NO
-74.09277556126,4.76059087019,2024-01-08,2024,10,SUBA,Con Heridos,NO
-74.08508835022,4.68738141629,2024-01-11,2024,5,ENGATIVÁ,Con Heridos,NO
-74.15150789206,4.63127993475,2024-01-11,2024,2,KENNEDY,Con Heridos,NO
-74.10847184841,4.7150261604,2024-01-11,2024,11,ENGATIVÁ,Con Heridos,NO
-74.03117863123,4.70298626939,2024-01-12,2024,8,USAQUÉN,Con Heridos,NO
-74.09556774084,4.58080872395,2024-01-12,2024,8,ANTONIO NARIÑO,Con Heridos,NO
-74.03138893156,4.76029046238,2024-01-12,2024,7,USAQUÉN,Con Heridos,NO
-74.14203969424,4.67787665355,2024-01-12,2024,22,FONTIBÓN,Con Heridos,NO
-74.10203722899,4.6234787604,2024-01-12,2024,11,PUENTE ARANDA,Con Heridos,NO
-74.14761579787,4.64545841157,2024-01-12,2024,19,KENNEDY,Con Heridos,NO
-74.13070199673,4.57681696651,2024-01-11,2024,22,TUNJUELITO,Con Heridos,NO
-74.13117674773,4.69990943434,2024-01-02,2024,5,ENGATIVÁ,Con Heridos,NO
