Fecha,Localidad,lat,lon,Nubosidad,Humedad,Precipitacion,Zona
2024-03-18,USAQUEN,4.6882,-74.0298,40.0,46.0,0.0,Norte
2024-03-19,USAQUEN,4.6882,-74.0298,99.0,53.0,2.54,Norte
2024-03-20,USAQUEN,4.6882,-74.0298,98.0,39.0,0.16,Norte
2024-03-21,USAQUEN,4.6882,-74.0298,40.0,49.0,0.0,Norte
2024-03-22,USAQUEN,4.6882,-74.0298,75.0,46.0,0.0,Norte
2024-03-23,USAQUEN,4.6882,-74.0298,98.0,35.0,0.85,Norte
2024-03-24,USAQUEN,4.6882,-74.0298,67.0,42.0,13.32,Norte
2024-03-25,USAQUEN,4.6882,-74.0298,12.0,37.0,0.25,Norte
2024-03-26,USAQUEN,4.6882,-74.0298,67.0,42.0,0.63,Norte
2024-03-27,USAQUEN,4.6882,-74.0298,83.0,37.0,0.0,Norte
2024-03-28,USAQUEN,4.6882,-74.0298,61.0,52.0,5.95,Norte
2024-03-29,USAQUEN,4.6882,-74.0298,74.0,59.0,0.0,Norte
2024-03-30,USAQUEN,4.6882,-74.0298,73.0,40.0,9.9,Norte
2024-03-31,USAQUEN,4.6882,-74.0298,100.0,63.0,0.0,Norte
2024-04-01,USAQUEN,4.6882,-74.0298,75.0,68.0,0.0,Norte
2024-04-02,USAQUEN,4.6882,-74.0298,91.0,64.0,0.0,Norte
2024-04-03,USAQUEN,4.6882,-74.0298,75.0,56.0,0.0,Norte
2024-04-04,USAQUEN,4.6882,-74.0298,99.0,75.0,11.13,Norte
2024-04-05,USAQUEN,4.6882,-74.0298,42.0,50.0,1.94,Norte
2024-04-06,USAQUEN,4.6882,-74.0298,87.0,57.0,0.0,Norte
2024-04-07,USAQUEN,4.6882,-74.0298,100.0,40.0,0.0,Norte
2024-04-08,USAQUEN,4.6882,-74.0298,94.0,81.0,0.0,Norte
2024-04-09,USAQUEN,4.6882,-74.0298,80.0,47.0,0.0,Norte
2024-04-10,USAQUEN,4.6882,-74.0298,21.0,29.0,0.0,Norte
2024-04-11,USAQUEN,4.6882,-74.0298,51.0,32.0,0.0,Norte
2024-04-12,USAQUEN,4.6882,-74.0298,99.0,32.0,0.0,Norte
2024-04-13,USAQUEN,4.6882,-74.0298,61.0,44.0,0.0,Norte
2024-04-14,USAQUEN,4.6882,-74.0298,95.0,41.0,0.0,Norte
2024-04-15,USAQUEN,4.6882,-74.0298,60.0,35.0,0.0,Norte
2024-04-16,USAQUEN,4.6882,-74.0298,99.0,41.0,0.0,Norte
2024-04-17,USAQUEN,4.6882,-74.0298,97.0,50.0,1.94,Norte
2024-04-18,USAQUEN,4.6882,-74.0298,98.0,74.0,9.87,Norte
2024-04-19,USAQUEN,4.6882,-74.0298,100.0,73.0,2.26,Norte
2024-04-20,USAQUEN,4.6882,-74.0298,100.0,82.0,2.18,Norte
2024-04-21,USAQUEN,4.6882,-74.0298,100.0,83.0,0.6,Norte
2024-04-22,USAQUEN,4.6882,-74.0298,100.0,93.0,27.06,Norte
2024-04-23,USAQUEN,4.6882,-74.0298,92.0,75.0,1.7,Norte
2024-04-24,USAQUEN,4.6882,-74.0298,97.0,80.0,5.42,Norte
2024-04-25,USAQUEN,4.6882,-74.0298,87.0,65.0,0.0,Norte
2024-04-26,USAQUEN,4.6882,-74.0298,100.0,91.0,0.0,Norte
2024-04-27,USAQUEN,4.6882,-74.0298,92.0,89.0,0.0,Norte
2024-04-28,USAQUEN,4.6882,-74.0298,90.0,84.0,5.41,Norte
2024-04-29,USAQUEN,4.6882,-74.0298,75.0,68.0,14.05,Norte
2024-04-30,USAQUEN,4.6882,-74.0298,75.0,77.0,0.35,Norte
2024-05-01,USAQUEN,4.6882,-74.0298,86.0,71.0,0.0,Norte
2024-05-02,USAQUEN,4.6882,-74.0298,75.0,72.0,0.55,Norte
2024-05-03,USAQUEN,4.6882,-74.0298,75.0,82.0,1.75,Norte
2024-05-04,USAQUEN,4.6882,-74.0298,75.0,72.0,0.0,Norte
2024-05-05,USAQUEN,4.6882,-74.0298,40.0,82.0,9.02,Norte
2024-05-06,USAQUEN,4.6882,-74.0298,75.0,56.0,0.12,Norte
2024-05-07,USAQUEN,4.6882,-74.0298,40.0,43.0,1.22,Norte
2024-05-08,USAQUEN,4.6882,-74.0298,75.0,49.0,5.9,Norte
2024-05-09,USAQUEN,4.6882,-74.0298,75.0,82.0,2.54,Norte
2024-05-10,USAQUEN,4.6882,-74.0298,75.0,72.0,0.0,Norte
2024-05-11,USAQUEN,4.6882,-74.0298,40.0,68.0,0.0,Norte
2024-05-12,USAQUEN,4.6882,-74.0298,75.0,72.0,0.0,Norte
2024-05-13,USAQUEN,4.6882,-74.0298,20.0,52.0,0.0,Norte
2024-05-14,USAQUEN,4.6882,-74.0298,100.0,54.0,0.44,Norte
2024-05-15,USAQUEN,4.6882,-74.0298,75.0,60.0,1.15,Norte
2024-05-16,USAQUEN,4.6882,-74.0298,100.0,65.0,0.0,Norte
2024-05-17,USAQUEN,4.6882,-74.0298,75.0,52.0,0.0,Norte
2024-05-18,USAQUEN,4.6882,-74.0298,75.0,63.0,9.11,Norte
2024-05-19,USAQUEN,4.6882,-74.0298,75.0,63.0,0.16,Norte
2024-05-20,USAQUEN,4.6882,-74.0298,40.0,56.0,0.0,Norte
2024-05-21,USAQUEN,4.6882,-74.0298,40.0,56.0,3.67,Norte
2024-05-22,USAQUEN,4.6882,-74.0298,40.0,49.0,0.0,Norte
2024-05-23,USAQUEN,4.6882,-74.0298,75.0,49.0,0.0,Norte
2024-05-24,USAQUEN,4.6882,-74.0298,75.0,56.0,0.0,Norte
2024-05-25,USAQUEN,4.6882,-74.0298,75.0,88.0,12.13,Norte
2024-05-26,USAQUEN,4.6882,-74.0298,75.0,52.0,3.36,Norte
2024-05-27,USAQUEN,4.6882,-74.0298,40.0,59.0,0.0,Norte
2024-05-28,USAQUEN,4.6882,-74.0298,75.0,46.0,0.0,Norte
2024-05-29,USAQUEN,4.6882,-74.0298,40.0,77.0,0.0,Norte
2024-05-30,USAQUEN,4.6882,-74.0298,40.0,72.0,0.0,Norte
2024-05-31,USAQUEN,4.6882,-74.0298,75.0,60.0,0.0,Norte
2024-06-01,USAQUEN,4.6882,-74.0298,75.0,56.0,0.0,Norte
2024-06-02,USAQUEN,4.6882,-74.0298,89.0,66.0,0.0,Norte
2024-06-03,USAQUEN,4.6882,-74.0298,75.0,49.0,0.0,Norte
2024-06-04,USAQUEN,4.6882,-74.0298,100.0,93.0,8.61,Norte
2024-06-05,USAQUEN,4.6882,-74.0298,75.0,63.0,0.0,Norte
2024-06-06,USAQUEN,4.6882,-74.0298,71.0,69.0,2.74,Norte
2024-06-07,USAQUEN,4.6882,-74.0298,75.0,55.0,3.37,Norte
2024-06-08,USAQUEN,4.6882,-74.0298,40.0,63.0,2.07,Norte
2024-06-09,USAQUEN,4.6882,-74.0298,75.0,82.0,0.0,Norte
2024-06-10,USAQUEN,4.6882,-74.0298,75.0,55.0,0.0,Norte
2024-06-11,USAQUEN,4.6882,-74.0298,75.0,68.0,0.0,Norte
2024-06-12,USAQUEN,4.6882,-74.0298,75.0,59.0,1.6,Norte
2024-06-13,USAQUEN,4.6882,-74.0298,66.0,67.0,0.0,Norte
2024-06-14,USAQUEN,4.6882,-74.0298,75.0,52.0,0.0,Norte
2024-06-15,USAQUEN,4.6882,-74.0298,40.0,82.0,12.66,Norte
2024-06-16,USAQUEN,4.6882,-74.0298,75.0,72.0,0.17,Norte
2024-06-17,USAQUEN,4.6882,-74.0298,75.0,67.0,0.61,Norte
2024-06-18,USAQUEN,4.6882,-74.0298,82.0,70.0,6.94,Norte
2024-06-19,USAQUEN,4.6882,-74.0298,40.0,94.0,0.32,Norte
2024-06-20,USAQUEN,4.6882,-74.0298,75.0,63.0,6.69,Norte
2024-06-21,USAQUEN,4.6882,-74.0298,75.0,52.0,0.0,Norte
2024-06-22,USAQUEN,4.6882,-74.0298,75.0,59.0,0.0,Norte
2024-06-23,USAQUEN,4.6882,-74.0298,75.0,88.0,0.0,Norte
2024-06-24,USAQUEN,4.6882,-74.0298,75.0,68.0,1.7,Norte
2024-06-25,USAQUEN,4.6882,-74.0298,98.0,84.0,0.0,Norte
2024-06-26,USAQUEN,4.6882,-74.0298,72.0,63.0,0.19,Norte
2024-06-27,USAQUEN,4.6882,-74.0298,82.0,67.0,0.0,Norte
2024-06-28,USAQUEN,4.6882,-74.0298,88.0,62.0,0.0,Norte
2024-06-29,USAQUEN,4.6882,-74.0298,85.0,51.0,0.27,Norte
2024-06-30,USAQUEN,4.6882,-74.0298,80.0,76.0,0.0,Norte
2024-07-01,USAQUEN,4.6882,-74.0298,77.0,60.0,0.0,Norte
2024-07-02,USAQUEN,4.6882,-74.0298,75.0,65.0,0.0,Norte
2024-07-03,USAQUEN,4.6882,-74.0298,99.0,85.0,0.0,Norte
2024-07-04,USAQUEN,4.6882,-74.0298,99.0,73.0,0.0,Norte
2024-07-05,USAQUEN,4.6882,-74.0298,89.0,85.0,11.89,Norte
