fecha,localidad,zona,pm25_conc,pm25_nowcast,pm25_iboca,pm10_conc,pm10_nowcast,pm10_iboca,zona
2024-01-01,BARRIOS UNIDOS,Centro oriental,27.217391304347824,27.633043478260866,83.3408695652174,24.333333333333332,23.666666666666668,44.208333333333336,Centro oriental
2024-01-02,BARRIOS UNIDOS,Centro oriental,15.791666666666666,15.876249999999999,57.93833333333333,30.791666666666668,29.875,53.333333333333336,Centro oriental
2024-01-03,BARRIOS UNIDOS,Centro oriental,24.083333333333332,24.275000000000006,76.60416666666667,35.375,35.541666666666664,62.25,Centro oriental
2024-01-04,BARRIOS UNIDOS,Centro oriental,21.333333333333332,20.81083333333333,69.22,34.75,34.125,59.791666666666664,Centro oriental
2024-01-05,BARRIOS UNIDOS,Centro oriental,21.208333333333332,21.903750000000002,71.61874999999999,35.625,34.833333333333336,60.416666666666664,Centro oriental
2024-01-06,BARRIOS UNIDOS,Centro oriental,12.333333333333334,12.860833333333334,47.428333333333335,24.333333333333332,24.791666666666668,45.083333333333336,Centro oriental
2024-01-07,BARRIOS UNIDOS,Centro oriental,10.25,10.2175,39.4425,23.5,18.15,31.761904761904763,Centro oriental
2024-01-08,BARRIOS UNIDOS,Centro oriental,10.333333333333334,9.980833333333333,41.14304347826087,23.391304347826086,21.833333333333332,39.25,Centro oriental
2024-01-09,BARRIOS UNIDOS,Centro oriental,12.125,12.613333333333335,46.55363636363636,33.958333333333336,32.5,56.958333333333336,Centro oriental
2024-01-10,BARRIOS UNIDOS,Centro oriental,13.5,13.325416666666667,47.621249999999996,48.78260869565217,46.0,74.0909090909091,Centro oriental
2024-01-11,BARRIOS UNIDOS,Centro oriental,12.083333333333334,11.417916666666665,43.683749999999996,30.416666666666668,29.5,52.26086956521739,Centro oriental
2024-01-12,BARRIOS UNIDOS,Centro oriental,17.583333333333332,17.773750000000003,62.955652173913045,40.583333333333336,40.833333333333336,69.41666666666667,Centro oriental
2024-01-13,BARRIOS UNIDOS,Centro oriental,22.708333333333332,22.14708333333333,72.13041666666668,37.458333333333336,37.208333333333336,64.16666666666667,Centro oriental
2024-01-14,BARRIOS UNIDOS,Centro oriental,19.75,20.9025,63.392083333333325,29.041666666666668,29.375,52.708333333333336,Centro oriental
2024-01-15,BARRIOS UNIDOS,Centro oriental,9.125,9.0125,36.45695652173913,13.391304347826088,12.916666666666666,24.0,Centro oriental
2024-01-16,BARRIOS UNIDOS,Centro oriental,6.208333333333333,6.395416666666667,26.427916666666665,17.416666666666668,17.083333333333332,31.0,Centro oriental
2024-01-17,BARRIOS UNIDOS,Centro oriental,8.166666666666666,7.9816666666666665,32.37916666666666,19.434782608695652,17.958333333333332,32.291666666666664,Centro oriental
2024-01-18,BARRIOS UNIDOS,Centro oriental,8.5,8.408333333333333,35.03875,13.458333333333334,13.083333333333334,24.458333333333332,Centro oriental
2024-01-19,BARRIOS UNIDOS,Centro oriental,11.583333333333334,11.7475,44.73916666666667,26.357142857142858,19.526315789473685,32.55,Centro oriental
2024-01-20,BARRIOS UNIDOS,Centro oriental,8.125,8.04,33.46875,32.312665096023416,31.294154567453116,53.904694730556805,Centro oriental
2024-01-21,BARRIOS UNIDOS,Centro oriental,8.75,8.644583333333333,36.02791666666667,32.312665096023416,31.294154567453116,53.904694730556805,Centro oriental
2024-01-22,BARRIOS UNIDOS,Centro oriental,5.0,2.974444444444445,11.1585,14.5,13.1875,24.875,Centro oriental
2024-01-23,BARRIOS UNIDOS,Centro oriental,15.58139861346383,15.605782425706339,54.176761594202894,18.583333333333332,18.125,33.625,Centro oriental
2024-01-24,BARRIOS UNIDOS,Centro oriental,21.857142857142858,20.759999999999998,69.21,26.416666666666668,25.75,45.375,Centro oriental
2024-01-25,BARRIOS UNIDOS,Centro oriental,16.25,16.149166666666666,58.588750000000005,50.25,48.0,78.58333333333333,Centro oriental
2024-01-26,BARRIOS UNIDOS,Centro oriental,20.416666666666668,20.940833333333334,69.05708333333332,60.208333333333336,60.583333333333336,97.33333333333333,Centro oriental
2024-01-27,BARRIOS UNIDOS,Centro oriental,24.208333333333332,23.852083333333336,75.39666666666666,45.041666666666664,45.125,75.04166666666667,Centro oriental
2024-01-28,BARRIOS UNIDOS,Centro oriental,22.166666666666668,23.142916666666668,74.22291666666666,47.04347826086956,45.25,75.20833333333333,Centro oriental
2024-01-29,BARRIOS UNIDOS,Centro oriental,18.90909090909091,19.471818181818183,66.50136363636365,41.25,41.25,70.73913043478261,Centro oriental
2024-01-30,BARRIOS UNIDOS,Centro oriental,18.208333333333332,18.74,65.57782608695652,45.041666666666664,45.083333333333336,75.33333333333333,Centro oriental
2024-01-31,BARRIOS UNIDOS,Centro oriental,19.666666666666668,20.174166666666668,67.97833333333334,46.333333333333336,46.375,77.125,Centro oriental
2024-02-01,BARRIOS UNIDOS,Centro oriental,19.77777777777778,19.40277777777778,66.35722222222222,34.333333333333336,34.25,59.666666666666664,Centro oriental
2024-02-02,BARRIOS UNIDOS,Centro oriental,7.0,8.195882352941176,33.5364705882353,33.291666666666664,33.833333333333336,59.708333333333336,Centro oriental
2024-02-03,BARRIOS UNIDOS,Centro oriental,16.6875,16.994999999999997,61.166875,34.375,34.291666666666664,60.0,Centro oriental
2024-02-04,BARRIOS UNIDOS,Centro oriental,22.13507397554095,22.328717290602224,71.56056739895143,28.75,29.041666666666668,52.333333333333336,Centro oriental
