año,mes,localidad,validaciones_mensuales
2024,8,TEUSAQUILLO,2697416
2024,8,TUNJUELITO,1675492
2024,8,USAQUEN,4103750
2024,8,USME,1011009
2024,9,ANTONIO NARIÑO,848580
2024,9,BARRIOS UNIDOS,3449327
2024,9,BOSA,1540275
2024,9,CANDELARIA,401877
2024,9,CHAPINERO,3801946
2024,9,CIUDAD BOLIVAR,832492
2024,9,ENGATIVA,3694892
2024,9,FONTIBON,2656980
2024,9,KENNEDY,4600444
2024,9,LOS MARTIRES,1147933
2024,9,PUENTE ARANDA,2984195
2024,9,RAFAEL URIBE URIBE,1594470
2024,9,SAN CRISTOBAL,1432415
2024,9,SANTA FE,3034936
2024,9,SOACHA,1930763
2024,9,SUBA,5467236
2024,9,TEUSAQUILLO,2550805
2024,9,TUNJUELITO,1536552
2024,9,USAQUEN,3818523
2024,9,USME,855408
2024,10,ANTONIO NARIÑO,948804
2024,10,BARRIOS UNIDOS,3741837
2024,10,BOSA,1686575
2024,10,CANDELARIA,478358
2024,10,CHAPINERO,4127901
2024,10,CIUDAD BOLIVAR,914995
2024,10,ENGATIVA,4033287
2024,10,FONTIBON,2908382
2024,10,KENNEDY,4973209
2024,10,LOS MARTIRES,1277218
2024,10,PUENTE ARANDA,3280964
2024,10,RAFAEL URIBE URIBE,1781182
2024,10,SAN CRISTOBAL,1552154
2024,10,SANTA FE,3365099
2024,10,SOACHA,2180461
2024,10,SUBA,5955303
2024,10,TEUSAQUILLO,2770078
2024,10,TUNJUELITO,1654064
2024,10,USAQUEN,4183420
2024,10,USME,1080228
2024,11,ANTONIO NARIÑO,907287
2024,11,BARRIOS UNIDOS,3423282
2024,11,BOSA,1604430
2024,11,CANDELARIA,478568
2024,11,CHAPINERO,3747432
2024,11,CIUDAD BOLIVAR,864732
2024,11,ENGATIVA,3812628
2024,11,FONTIBON,2754835
2024,11,KENNEDY,4705422
2024,11,LOS MARTIRES,1293670
2024,11,PUENTE ARANDA,3148340
2024,11,RAFAEL URIBE URIBE,1739903
2024,11,SAN CRISTOBAL,1427339
2024,11,SANTA FE,3178113
2024,11,SOACHA,2082892
2024,11,SUBA,5617881
2024,11,TEUSAQUILLO,2651538
2024,11,TUNJUELITO,1570186
2024,11,USAQUEN,3939140
2024,11,USME,976008
2024,12,ANTONIO NARIÑO,885562
2024,12,BARRIOS UNIDOS,3119017
2024,12,BOSA,1596258
2024,12,CANDELARIA,624876
2024,12,CHAPINERO,3294939
2024,12,CIUDAD BOLIVAR,885918
2024,12,ENGATIVA,3677368
2024,12,FONTIBON,2695465
2024,12,KENNEDY,4653746
2024,12,LOS MARTIRES,1535212
2024,12,PUENTE ARANDA,3271361
2024,12,RAFAEL URIBE URIBE,1746267
2024,12,SAN CRISTOBAL,1429524
2024,12,SANTA FE,3135434
2024,12,SOACHA,2221316
2024,12,SUBA,5394149
2024,12,TEUSAQUILLO,2438142
2024,12,TUNJUELITO,1577981
2024,12,USAQUEN,3727591
2024,12,USME,963114
