estación,localidad,zona
(11414) BD-006A|K7 - CL40 N/S A,CHAPINERO,Centro oriental
(11439) BD-050A_SU|CL72 - K10,CHAPINERO,Centro oriental
(11471) BD-051A_SU|CL76 - K11,CHAPINERO,Centro oriental
(11507) BD-038A|K7  -  CL94,CHAPINERO,Centro oriental
(11508) BD-036A|K7 - CL90,CHAPINERO,Centro oriental
(11509) BD-034A|K7  -  CL86,CHAPINERO,Centro oriental
(11510) BD-032A|K7  -  CL81,CHAPINERO,Centro oriental
(11511) BD-029B|K7 - CL74 N/S B,CHAPINERO,Centro oriental
(11518) BD-043A|K11 - CL95,CHAPINERO,Centro oriental
(11519) BD-044A|K11 - CL93,CHAPINERO,Centro oriental
(11520) BD-045A|K11 - CL86A,CHAPINERO,Centro oriental
(11521) BD-046A|K11 - CL82,CHAPINERO,Centro oriental
(11522) BD-020A|K11  -  CL75,CHAPINERO,Centro oriental
(11594) BD-033A00_|K7- CL82,CHAPINERO,Centro oriental
(11595) BD-035A01|K7 - CL87,CHAPINERO,Centro oriental
(11596) BD-037A00_|K7 - CL92,CHAPINERO,Centro oriental
(11597) BD-039A00_|K7 - CL94,CHAPINERO,Centro oriental
(11601) BD-005A00_|BD-005A00_GM,CHAPINERO,Centro oriental
(11675) BD-031A01|K7 - CL78,CHAPINERO,Centro oriental
(11702) BD-040A01|K7 - CL97A,CHAPINERO,Centro oriental
(11704) BD-030A01|K7 - CL79,CHAPINERO,Centro oriental
(11705) BD-047A01|K11 - CL78,CHAPINERO,Centro oriental
(11802) BD-033A00|K7-CL82,CHAPINERO,Centro oriental
(13048) BD-049A|K7 Cl100 N/S,CHAPINERO,Centro oriental
(13073) BD-005B|K7 - CL40 S/N B,CHAPINERO,Centro oriental
(13074) BD-017A|K7 - CL70A S/N A,CHAPINERO,Centro oriental
(13075) BD-019B|K7 - CL73 S/N B,CHAPINERO,Centro oriental
(13076) BD-006B|K7 - CL40 N/S B,CHAPINERO,Centro oriental
(13077) BD-012B|K7 - CL56 N/S B,CHAPINERO,Centro oriental
(13078) BD-014B|K7 - CL61 N/S B,CHAPINERO,Centro oriental
(13079) BD-016B|K7- CL66 N/S B,CHAPINERO,Centro oriental
(13080) BD-018A|K7 - CL71 N/S A,CHAPINERO,Centro oriental
(13081) BD-029A|K7 - CL74 N/S A,CHAPINERO,Centro oriental
(13636) BD-081A00|AC85 - KR16A,CHAPINERO,Centro oriental
(13637) BD-281A00|AC85 - AK11,CHAPINERO,Centro oriental
(13638) BD-282A00|AC85 - KR13,CHAPINERO,Centro oriental
(2304) HEROES,CHAPINERO,Centro oriental
(40004) Bicicletero Mirador del Paraíso,CHAPINERO,Centro oriental
(57309) 217A00_TM|217A00_Pq. P�blico La Reserva,CHAPINERO,Centro oriental
(57322) 224B00_TM|224B00_Br. Espartillal,CHAPINERO,Centro oriental
(57502) 297A00_TM|297A00_Embajada de Inglaterra,CHAPINERO,Centro oriental
(57583) 344A00_TM|344A00_Museo El Chic,CHAPINERO,Centro oriental
(57611) 363A00_TM|363A00_Br. La Cabrera,CHAPINERO,Centro oriental
(57613) 365A00_TM|365A00_Embajada de Italia,CHAPINERO,Centro oriental
(57615) 367A00_TM|367A00_Calle 74,CHAPINERO,Centro oriental
(57617) 371A00_TM|371A00_Academia Nacional de Medicina,CHAPINERO,Centro oriental
(57631) 387A00_TM|387A00_Br. Bosque Calder,CHAPINERO,Centro oriental
(57798) 819A00_TM|819A00_Br. Chapinero Central,CHAPINERO,Centro oriental
(71379),CHAPINERO,Centro oriental
(71379) BD-005A|K7 - CL40 S/N A,CHAPINERO,Centro oriental
(71380),CHAPINERO,Centro oriental
(71380) BD-007A|K7  -  CL45,CHAPINERO,Centro oriental
(71381),CHAPINERO,Centro oriental
(71381) BD-009A|K7 - CL50,CHAPINERO,Centro oriental
(71382),CHAPINERO,Centro oriental
(71382) BD-011A|K7 - CL57,CHAPINERO,Centro oriental
(71383),CHAPINERO,Centro oriental
(71383) BD-013A|K7 - CL61,CHAPINERO,Centro oriental
(71384),CHAPINERO,Centro oriental
(71384) BD-015A|K7 - CL66,CHAPINERO,Centro oriental
(71385),CHAPINERO,Centro oriental
(71385) BD-017B|K7 - CL70A S/N B,CHAPINERO,Centro oriental
(71386),CHAPINERO,Centro oriental
(71386) BD-019A|K7 - CL73 S/N A,CHAPINERO,Centro oriental
(71388),CHAPINERO,Centro oriental
(71388) BD-021A|K11 - CL70A,CHAPINERO,Centro oriental
(71389),CHAPINERO,Centro oriental
(71389) BD-022A|K13 - CL66,CHAPINERO,Centro oriental
(71390),CHAPINERO,Centro oriental
(71390) BD-023A|K13 - CL60,CHAPINERO,Centro oriental
(71391),CHAPINERO,Centro oriental
(71391) BD-024A|K13 - CL55,CHAPINERO,Centro oriental
(71392),CHAPINERO,Centro oriental
(71392) BD-025A|K13 - CL52,CHAPINERO,Centro oriental
(71394),CHAPINERO,Centro oriental
(71394) BD-027A|K13 - CL43A,CHAPINERO,Centro oriental
(71408),CHAPINERO,Centro oriental
(71408) BD-018B|K7 - CL71 N/S B,CHAPINERO,Centro oriental
(71409),CHAPINERO,Centro oriental
(71409) BD-016A|K7- CL66 N/S A,CHAPINERO,Centro oriental
(71410),CHAPINERO,Centro oriental
(71410) BD-014A|K7 - CL60 N/S A,CHAPINERO,Centro oriental
(71411),CHAPINERO,Centro oriental
(71411) BD-012A|K7 - CL55 N/S A,CHAPINERO,Centro oriental
(71412),CHAPINERO,Centro oriental
(71412) BD-010A|K7 - CL51,CHAPINERO,Centro oriental
