estación,localidad,zona
(61973) L048|PORTAL 20 DE JULIO T10,SAN CRISTÓBAL,Suroriental
(61974) L049|Av. 1 de Mayo A - 3,SAN CRISTÓBAL,Suroriental
(61975) L050|AV. 1 de mayo A - 4 ó 6,SAN CRISTÓBAL,Suroriental
(61976),SAN CRISTÓBAL,Suroriental
(61976) L051|Av. 1 de Mayo B - 3,SAN CRISTÓBAL,Suroriental
(61976) L051|Av. 1º de Mayo B - 3,SAN CRISTÓBAL,Suroriental
(61977) L052|Av. 1 de Mayo B - 4 ó 6,SAN CRISTÓBAL,Suroriental
(61977) L052|Av. 1º de Mayo B - 4 ó 6,SAN CRISTÓBAL,Suroriental
(06111) Universidades,SANTA FE,Centro
(06111) Universidades – CityU,SANTA FE,Centro
(09110) Avenida Jimenez,SANTA FE,Centro
(09116) Avenida 39,SANTA FE,Centro
(10005) Bicentenario,SANTA FE,Centro
(10007) Las Nieves,SANTA FE,Centro
(10008) San Diego,SANTA FE,Centro
(10009) Museo Nacional,SANTA FE,Centro
(10009) Museo Nacional - FNG,SANTA FE,Centro
(10010) San Bernardo,SANTA FE,Centro
(11377) BD-001A|K7 - CL34,SANTA FE,Centro
(11378) BD-003A|K7 - CL37,SANTA FE,Centro
(11395) BD-028A|K13 - CL37,SANTA FE,Centro
(11415) BD-004A|K7 - CL36,SANTA FE,Centro
(11416) BD-002A|K7 - CL33,SANTA FE,Centro
(11423) Mus B - 4|Museo Nacional B - 4,SANTA FE,Centro
(11424) Mus B-1|Museo Nacional B - 1,SANTA FE,Centro
(12331) Mus A-7|Museo Nacional A - 7,SANTA FE,Centro
(12333) Mus B-7|Museo Nacional B - 7,SANTA FE,Centro
(12334) Mus B-8|Museo Nacional B - 8,SANTA FE,Centro
(12922) PA12922|San Diego A - 8,SANTA FE,Centro
(12924) PA12924|San Diego B - 7,SANTA FE,Centro
(14004) Museo del Oro,SANTA FE,Centro
(14005) Las Aguas,SANTA FE,Centro
(14005) Las Aguas - Centro Colombo Americano,SANTA FE,Centro
(1860) 391A06_ET|391A06,SANTA FE,Centro
(1926) L001|Bicentenario A - 3,SANTA FE,Centro
(1934) L009|Bicentenario B - 2,SANTA FE,Centro
(1935) L010|Bicentenario A - 1,SANTA FE,Centro
(1950) L025|San Bernardo B - 1,SANTA FE,Centro
(1984) L059|San Diego A - 3,SANTA FE,Centro
(1985) L060|San Diego B - 4,SANTA FE,Centro
(1986) L061|San Diego B - 1,SANTA FE,Centro
(1987) L062|San Diego A - 2,SANTA FE,Centro
(57803) 824A00_TM|824A00_Br. Samper,SANTA FE,Centro
(61396) A132|Calle 34 A - 4 ó 6,SANTA FE,Centro
(61926) L001|Bicentenario A - 3 ó 6,SANTA FE,Centro
(61928) L003|Bicentenario B - 4 ó 6,SANTA FE,Centro
(61934),SANTA FE,Centro
(61934) L009|Bicentenario B - 2 ó 5,SANTA FE,Centro
(61935),SANTA FE,Centro
(61935) L010|Bicentenario A - 1 ó 5,SANTA FE,Centro
(61984) L059|San Diego A - 3 ó 6,SANTA FE,Centro
(61985),SANTA FE,Centro
(61985) L060|San Diego B - 4 ó 6,SANTA FE,Centro
(61986) L061|San Diego B - 1 ó 5,SANTA FE,Centro
(61987),SANTA FE,Centro
(61987) L062|San Diego A - 2 ó 5,SANTA FE,Centro
(71377),SANTA FE,Centro
(71377) BD-001A|K7 - CL34,SANTA FE,Centro
(71378),SANTA FE,Centro
(71378) BD-003A|K7 - CL37,SANTA FE,Centro
(71395),SANTA FE,Centro
(71395) BD-028A|K13 - CL37,SANTA FE,Centro
(71415),SANTA FE,Centro
(71415) BD-004A|K7 - CL36,SANTA FE,Centro
(71416),SANTA FE,Centro
(71416) BD-002A|K7 - CL33,SANTA FE,Centro
(71423) Mus B - 4|Museo Nacional B - 4 ó 6,SANTA FE,Centro
(71424),SANTA FE,Centro
(71424) Mus B-1|Museo Nacional B - 1 ó 5,SANTA FE,Centro
(72331),SANTA FE,Centro
(72331) Mus A-7|Museo Nacional A - 7,SANTA FE,Centro
(72333),SANTA FE,Centro
(72333) Mus B-7|Museo Nacional B - 7,SANTA FE,Centro
(72334),SANTA FE,Centro
(72334) Mus B-8|Museo Nacional B - 8,SANTA FE,Centro
(02101) Toberin - Foundever,SUBA,Norte
(02105) Calle 142,SUBA,Norte
(02200) Alcalá,SUBA,Norte
(02200) Alcalá – Colegio S. Tomás Dominicos,SUBA,Norte
(02201) Prado,SUBA,Norte
(02202) Calle 127,SUBA,Norte
(03000) Portal Suba,SUBA,Norte
(03001) LA CAMPIÑA,SUBA,Norte
(03002) SUBA - TV- 91,SUBA,Norte
(03003) 21 ANGELES,SUBA,Norte
(03004) GRATAMIRA,SUBA,Norte
(03005) SUBA - AV. BOYACA,SUBA,Norte
(03006) NIZA - CALLE 127,SUBA,Norte
(03007) HUMEDAL CORDOBA,SUBA,Norte
(03009) Av. Suba- Calle 116,SUBA,Norte
(03010) PUENTE LARGO,SUBA,Norte
(03011) SUBA - CALLE 100,SUBA,Norte
(11474) 191B03_SUB|Av Suba - K110A,SUBA,Norte
(11475) 193B03|Av Suba - K114D,SUBA,Norte
(11476) 195B03_SUB|Av Suba - K110A,SUBA,Norte
(11640) PA11640|Av Suba - K 114G,SUBA,Norte
(1410) C001|21 �geles A - 3,SUBA,Norte
(1413) C004|21 �geles A - 2,SUBA,Norte
(1440) 320A01_CE|320A01,SUBA,Norte
(1441) C032|Puentelargo A - 2,SUBA,Norte
(1452) 247A01_CE|247A01,SUBA,Norte
(1480) 237A00_CE|237A00,SUBA,Norte
(1931) 118A05_EE|118A05,SUBA,Norte
(61410),SUBA,Norte
(61410) C001|21 Ángeles A - 3,SUBA,Norte
(61413),SUBA,Norte
(61413) C004|21 Ángeles A - 2,SUBA,Norte
(61431),SUBA,Norte
(61438),SUBA,Norte
(61438) C029|Puentelargo A - 3,SUBA,Norte
(61441),SUBA,Norte
(61441) C032|Puentelargo A - 2,SUBA,Norte
(71474),SUBA,Norte
(71474) 191B03_SUB|Av Suba - K110A,SUBA,Norte
(71475),SUBA,Norte
(71475) 193B03|Av Suba - K114D,SUBA,Norte
(71476),SUBA,Norte
(71476) 195B03_SUB|Av Suba - K110A.,SUBA,Norte
(06102) Salitre El Greco,TEUSAQUILLO,Centro oriental
(06103) CAN,TEUSAQUILLO,Centro oriental
(06104) Gobernación,TEUSAQUILLO,Centro oriental
(06105) Quinta Paredes,TEUSAQUILLO,Centro oriental
(06106) Recinto Ferial,TEUSAQUILLO,Centro oriental
(06107) Ciudad Universitaria - Loteria de Bogota,TEUSAQUILLO,Centro oriental
(06108) Concejo de Bogotá,TEUSAQUILLO,Centro oriental
(06109) Centro Memoria,TEUSAQUILLO,Centro oriental
(07105) MOVISTAR ARENA,TEUSAQUILLO,Centro oriental
(07106) EL CAMPIN,TEUSAQUILLO,Centro oriental
(07107) U. NACIONAL,TEUSAQUILLO,Centro oriental
(07108) Av. El Dorado,TEUSAQUILLO,Centro oriental
(09114) Calle 26,TEUSAQUILLO,Centro oriental
(09115) Calle 34,TEUSAQUILLO,Centro oriental
(09115) Calle 34 - Fondo Nacional de Garantias,TEUSAQUILLO,Centro oriental
(1856) K007|CAN A - 3,TEUSAQUILLO,Centro oriental
(1876) K027|Corferias A - 3,TEUSAQUILLO,Centro oriental
(1884) K035|Gobernaci� - 3,TEUSAQUILLO,Centro oriental
(1885) 491A08_ET|491A08,TEUSAQUILLO,Centro oriental
(1899) K050|Concejo de Bogot� - 4,TEUSAQUILLO,Centro oriental
(1911) K062|Quinta Paredes B - 4,TEUSAQUILLO,Centro oriental
(61856),TEUSAQUILLO,Centro oriental
(61856) K007|CAN A - 3 ó 6,TEUSAQUILLO,Centro oriental
(61859) K010|CAN A - 2 ó 5,TEUSAQUILLO,Centro oriental
(61867) K018|Centro Memoria A - 2 ó 5,TEUSAQUILLO,Centro oriental
(61876) K027|Corferias A - 3 ó 6,TEUSAQUILLO,Centro oriental
(61879) K030|Corferias A - 2 ó 5,TEUSAQUILLO,Centro oriental
(61884) K035|Gobernación A - 3 ó 6,TEUSAQUILLO,Centro oriental
(61899),TEUSAQUILLO,Centro oriental
(61899) K050|Concejo de Bogotá B - 4 ó 6,TEUSAQUILLO,Centro oriental
(61901) K052|Concejo de Bogotá B - 2 ó 5,TEUSAQUILLO,Centro oriental
(61911),TEUSAQUILLO,Centro oriental
(61911) K062|Quinta Paredes B - 4 ó 6,TEUSAQUILLO,Centro oriental
(61912) K063|Quinta Paredes B -1 ó 5,TEUSAQUILLO,Centro oriental
(61914) K065T|Salitre - El Greco A - 3 ó 6,TEUSAQUILLO,Centro oriental
(61917) K068T|Salitre - El Greco A - 2 ó 5,TEUSAQUILLO,Centro oriental
(62304) DN235|Gobernación A - 2 ó 5,TEUSAQUILLO,Centro oriental
(08000) Portal Tunal,TUNJUELITO,Sur Occidental
(08001) Parque el Tunal,TUNJUELITO,Sur Occidental
(08002) Biblioteca,TUNJUELITO,Sur Occidental
(40000) Cable Portal Tunal,TUNJUELITO,Sur Occidental
(02000) Cabecera Autopista Norte,USAQUÉN,Norte
(02001) Centro Comercial Santa Fe,USAQUÉN,Norte
(02102) Calle 161,USAQUÉN,Norte
(02103) Mazurén,USAQUÉN,Norte
(02104) Calle 146,USAQUÉN,Norte
(02204) Pepe Sierra,USAQUÉN,Norte
(02205) Calle 106,USAQUÉN,Norte
(02502) Terminal,USAQUÉN,Norte
(11504) BD-170A01_|K7 - CL117,USAQUÉN,Norte
(11505) BD-168A01|K7  -  CL114,USAQUÉN,Norte
(11506) BD-049A01|K7  -  CL101,USAQUÉN,Norte
(11598) BD-041A01_|K7 - CL100,USAQUÉN,Norte
(11599) BD-048A01|K7 - CL114,USAQUÉN,Norte
(11676) BD-052A01|K7 - CL106,USAQUÉN,Norte
(11677) K7 -  CL106,USAQUÉN,Norte
(11678) BD-053A01|K7 - CL110,USAQUÉN,Norte
(11679) K7  - CL110A,USAQUÉN,Norte
(11681) BD-055A01|K7 - CL116,USAQUÉN,Norte
(11682) K7 -  CL119B,USAQUÉN,Norte
(11683) BD-057A01|K7 - CL119B,USAQUÉN,Norte
(11684) BD-059A01|K7 - CL124,USAQUÉN,Norte
(11685) K7  - CL124,USAQUÉN,Norte
(11686) BD-061A01|K7 - CL127B,USAQUÉN,Norte
(11687) K7  - CL127B,USAQUÉN,Norte
(11688) BD-063A01|K7 - CL130,USAQUÉN,Norte
(11690) BD-065A01|CL134 - K7,USAQUÉN,Norte
(11691) 245A01|K7 - CL134,USAQUÉN,Norte
(11692) BD-064A01|K7 - CL132,USAQUÉN,Norte
(11693) K7 -  CL127B,USAQUÉN,Norte
(11694) BD-062A01|K7  -  CL127B,USAQUÉN,Norte
(11695) K7 -  CL124,USAQUÉN,Norte
(11696) BD-060A01|K7  -  CL124,USAQUÉN,Norte
(11697) BD-058B|K7 - CL118 N/S B,USAQUÉN,Norte
(11699) BD-056B|K7 - CL116 N/S B,USAQUÉN,Norte
(11700) K7 -  CL110,USAQUÉN,Norte
(11701) BD-054A01|K7  -  CL110,USAQUÉN,Norte
(11706) 048A01|K7  - CL106,USAQUÉN,Norte
(13049) BD-162B01|Calle 100 - Kra 8,USAQUÉN,Norte
(13082) BD-056A|K7 - CL116 S/N A,USAQUÉN,Norte
(13083) BD-058A|K7 - CL118 N/S A,USAQUÉN,Norte
(1514) 171A01_CE|171A01,USAQUÉN,Norte
(1532) 228A01_CE|228A01_,USAQUÉN,Norte
(56452) 123A01_TM|123A01_Instituto Carlos Ardila L�lle,USAQUÉN,Norte
(56547) 164A01_TM|164A01_IED General Santander (Br. El Pedregal),USAQUÉN,Norte
(56550) 165B01_TM|165B01_Escuela de Caballer,USAQUÉN,Norte
(56555) 168A01_TM|168A01_C.C. Hacienda Santa B�ara,USAQUÉN,Norte
(56778) 249A01_TM|249A01_Pq. Ginebra,USAQUÉN,Norte
(56782) 251A01_TM|251A01_Br. Bella Suiza,USAQUÉN,Norte
(71504) BD-170A01_|K7 - CL117,USAQUÉN,Norte
(71506),USAQUÉN,Norte
(71506) BD-049A01|K7  -  CL101,USAQUÉN,Norte
(71598),USAQUÉN,Norte
(71598) BD-041A01_|K7 - CL100,USAQUÉN,Norte
(71676),USAQUÉN,Norte
(71676) BD-052A01|K7 - CL106,USAQUÉN,Norte
(71678),USAQUÉN,Norte
(71678) BD-053A01|K7 - CL110,USAQUÉN,Norte
(71681),USAQUÉN,Norte
(71681) BD-055A01|K7 - CL116,USAQUÉN,Norte
(71683),USAQUÉN,Norte
(71683) BD-057A01|K7 - CL119B,USAQUÉN,Norte
(71684),USAQUÉN,Norte
(71684) BD-059A01|K7 - CL124,USAQUÉN,Norte
(71685) 175A01|K7  - CL124,USAQUÉN,Norte
(71686),USAQUÉN,Norte
(71686) BD-061A01|K7 - CL127B,USAQUÉN,Norte
(71688),USAQUÉN,Norte
(71688) BD-063A01|K7 - CL130,USAQUÉN,Norte
(71690),USAQUÉN,Norte
(71690) BD-065A01|CL134 - K7,USAQUÉN,Norte
(71692),USAQUÉN,Norte
(71692) BD-064A01|K7 - CL132,USAQUÉN,Norte
(71693) 249A01|K7 -  CL127B,USAQUÉN,Norte
(71694),USAQUÉN,Norte
(71694) BD-062A01|K7  -  CL127B,USAQUÉN,Norte
(71696),USAQUÉN,Norte
(71696) BD-060A01|K7  -  CL124,USAQUÉN,Norte
(71697),USAQUÉN,Norte
(71697) BD-058B|K7 - CL118 N/S B,USAQUÉN,Norte
(71699),USAQUÉN,Norte
(71699) BD-056B|K7 - CL116 N/S B,USAQUÉN,Norte
(71701),USAQUÉN,Norte
(71701) BD-054A01|K7  -  CL110,USAQUÉN,Norte
(71706),USAQUÉN,Norte
(71706) 048A01|K7  - CL106,USAQUÉN,Norte
(73048) BD-049A|K7 Cl100 N/S,USAQUÉN,Norte
(73049),USAQUÉN,Norte
(73049) BD-162B01|Calle 100 - Kra 8,USAQUÉN,Norte
(73082),USAQUÉN,Norte
(73082) BD-056A|K7 - CL116 N/S A,USAQUÉN,Norte
(73083),USAQUÉN,Norte
(73083) BD-058A|K7 - CL118 N/S A,USAQUÉN,Norte
(09000) Cabecera Usme,USME,Suroriental
(11739) 009A12|Av. Caracas - CL65 Sur,USME,Suroriental
(13228) BD-066A|CL67D Sur - Av Caracas,USME,Suroriental
(13229) BD-011A12|Av. Caracas - CL67A Bis Sur,USME,Suroriental
(13230) BD-010B|Av. Caracas - CL67A Sur,USME,Suroriental
(53253) 010B12_TM|010B12_C.C. Altavista,USME,Suroriental
(73230),USME,Suroriental
(73230) BD-010B|Av. Caracas - CL67A Sur,USME,Suroriental
(73763),USME,Suroriental
(73763) BD-066A|CL67D Sur - Av Caracas,USME,Suroriental
(73764),USME,Suroriental
(73764) 009A12 |Av. Caracas - CL65 Sur,USME,Suroriental
